Category,Country,Customer Name,Discount,Order Date,Order ID,Product Name,Profit,Quantity,Region,Returned,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
Furniture,United States,Vivek Sundaresam,0.6,07/01/13,CA-2011-105417,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",-53.7096,3,Central,,76.728,Consumer,12/01/13,Standard Class,Texas,Furnishings
Office Supplies,United States,Vivek Sundaresam,0.8,07/01/13,CA-2011-105417,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",-18.2525,7,Central,,10.43,Consumer,12/01/13,Standard Class,Texas,Binders
Office Supplies,United States,Melanie Seite,0.2,09/01/13,CA-2011-135405,Newell 312,1.168,2,Central,,9.344,Consumer,13/01/13,Standard Class,Texas,Art
Technology,United States,Melanie Seite,0.2,09/01/13,CA-2011-135405,Memorex Micro Travel Drive 8 GB,9.75,3,Central,,31.2,Consumer,13/01/13,Standard Class,Texas,Accessories
Furniture,United States,Anthony Jacobs,0,10/01/13,CA-2011-149020,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",21.2954,1,South,,51.94,Corporate,15/01/13,Standard Class,Virginia,Furnishings
Office Supplies,United States,Anthony Jacobs,0,10/01/13,CA-2011-149020,Avery 482,1.3583,1,South,,2.89,Corporate,15/01/13,Standard Class,Virginia,Labels
Furniture,United States,Seth Vernon,0,11/01/13,CA-2011-130092,"DAX Value U-Channel Document Frames, Easel Back",3.0814,2,East,,9.94,Consumer,14/01/13,First Class,Delaware,Furnishings
Office Supplies,United States,Chris Selesnick,0,13/01/13,CA-2011-162775,3-ring staple pack,2.7072,3,South,,5.64,Corporate,15/01/13,Second Class,Louisiana,Binders
Office Supplies,United States,Chris Selesnick,0,13/01/13,CA-2011-162775,Brown Kraft Recycled Envelopes,25.47,3,South,,50.94,Corporate,15/01/13,Second Class,Louisiana,Envelopes
Office Supplies,United States,Chris Selesnick,0,13/01/13,CA-2011-162775,Staple envelope,5.3392,2,South,,11.36,Corporate,15/01/13,Second Class,Louisiana,Envelopes
Office Supplies,United States,Chris Selesnick,0,13/01/13,CA-2011-162775,Fellowes Stor/Drawer Steel Plus Storage Drawers,34.3548,6,South,,572.58,Corporate,15/01/13,Second Class,Louisiana,Storage
Technology,United States,Chris Selesnick,0,13/01/13,CA-2011-162775,Plantronics S12 Corded Telephone Headset System,258.696,6,South,,646.74,Corporate,15/01/13,Second Class,Louisiana,Accessories
Furniture,United States,Natalie DeCherney,0,13/01/13,CA-2011-109232,Global Highback Leather Tilter in Burgundy,87.3504,6,South,,545.94,Consumer,16/01/13,Second Class,South Carolina,Chairs
Furniture,United States,Brian Dahlen,0.15,13/01/13,CA-2011-157147,"O'Sullivan Elevations Bookcase, Cherry Finish",3.9294,3,West,,333.999,Consumer,18/01/13,Standard Class,California,Bookcases
Office Supplies,United States,Michael Moore,0.7,13/01/13,CA-2011-118192,Avery Metallic Poly Binders,-2.5212,2,East,,3.438,Consumer,18/01/13,Standard Class,Ohio,Binders
Office Supplies,United States,Michael Moore,0.2,13/01/13,CA-2011-118192,Xerox 1923,13.0928,7,East,,37.408,Consumer,18/01/13,Standard Class,Ohio,Paper
Office Supplies,United States,Brian Dahlen,0,13/01/13,CA-2011-157147,4009 Highlighters by Sanford,6.567,5,West,,19.9,Consumer,18/01/13,Standard Class,California,Art
Office Supplies,United States,Brian Dahlen,0,13/01/13,CA-2011-157147,Tennsco 6- and 18-Compartment Lockers,238.653,5,West,,1325.85,Consumer,18/01/13,Standard Class,California,Storage
Furniture,United States,Brendan Sweed,0.5,14/01/13,CA-2011-149524,Sauder Cornerstone Collection Library,-53.2856,4,East,,61.96,Corporate,15/01/13,First Class,Pennsylvania,Bookcases
Technology,United States,Erica Hackney,0,15/01/13,CA-2011-103366,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,65.978,5,South,,149.95,Consumer,17/01/13,First Class,Georgia,Accessories
Furniture,United States,Delfina Latchford,0.2,16/01/13,CA-2011-115791,DAX Black Cherry Wood-Tone Poster Frame,28.5984,6,East,,127.104,Consumer,18/01/13,Second Class,Pennsylvania,Furnishings
Office Supplies,United States,Delfina Latchford,0.7,16/01/13,CA-2011-115791,GBC Linen Binding Covers,-13.6312,2,East,,18.588,Consumer,18/01/13,Second Class,Pennsylvania,Binders
Office Supplies,United States,Delfina Latchford,0.2,16/01/13,CA-2011-115791,Round Specialty Laser Printer Labels,10.1493,3,East,,30.072,Consumer,18/01/13,Second Class,Pennsylvania,Labels
Technology,United States,Delfina Latchford,0.4,16/01/13,CA-2011-115791,AT&T 841000 Phone,-31.05,3,East,,124.2,Consumer,18/01/13,Second Class,Pennsylvania,Phones
Office Supplies,United States,David Wiener,0.2,18/01/13,CA-2011-123477,Fellowes Mighty 8 Compact Surge Protector,6.4864,4,West,,64.864,Corporate,21/01/13,Second Class,Oregon,Appliances
Furniture,United States,Toby Swindell,0.7,19/01/13,CA-2011-146591,O'Sullivan 4-Shelf Bookcase in Odessa Pine,-320.597,5,West,,181.47,Consumer,20/01/13,First Class,Arizona,Bookcases
Office Supplies,United States,Toby Swindell,0.7,19/01/13,CA-2011-146591,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",-23.716,10,West,,32.34,Consumer,20/01/13,First Class,Arizona,Binders
Office Supplies,United States,Toby Swindell,0.2,19/01/13,CA-2011-146591,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",36.693,5,West,,108.72,Consumer,20/01/13,First Class,Arizona,Envelopes
Office Supplies,United States,Toby Swindell,0.2,19/01/13,CA-2011-146591,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",19.6224,4,West,,56.064,Consumer,20/01/13,First Class,Arizona,Paper
Furniture,United States,Mark Van Huff,0,20/01/13,CA-2011-148614,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",5.79,2,West,Yes,19.3,Consumer,25/01/13,Standard Class,California,Furnishings
Office Supplies,United States,Mark Van Huff,0,20/01/13,CA-2011-148614,"Wirebound Service Call Books, 5 1/2"" x 4""",9.2928,2,West,Yes,19.36,Consumer,25/01/13,Standard Class,California,Paper
Furniture,United States,Xylona Preis,0,20/01/13,CA-2011-167927,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,30.0234,3,Central,,272.94,Consumer,26/01/13,Standard Class,Michigan,Furnishings
Furniture,United States,Xylona Preis,0,20/01/13,CA-2011-167927,Ultra Door Push Plate,4.8609,3,Central,,14.73,Consumer,26/01/13,Standard Class,Michigan,Furnishings
Furniture,United States,Hunter Lopez,0,20/01/13,US-2011-147627,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,224.2674,3,South,,1067.94,Consumer,26/01/13,Standard Class,Arkansas,Chairs
Furniture,United States,Hunter Lopez,0,20/01/13,US-2011-147627,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",11.58,4,South,,38.6,Consumer,26/01/13,Standard Class,Arkansas,Furnishings
Office Supplies,United States,Xylona Preis,0.1,20/01/13,CA-2011-167927,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",93.5816,4,Central,,247.716,Consumer,26/01/13,Standard Class,Michigan,Appliances
Office Supplies,United States,Xylona Preis,0,20/01/13,CA-2011-167927,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,12.7368,3,Central,,43.92,Consumer,26/01/13,Standard Class,Michigan,Art
Office Supplies,United States,Xylona Preis,0,20/01/13,CA-2011-167927,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",8.9535,5,Central,,19.05,Consumer,26/01/13,Standard Class,Michigan,Binders
Office Supplies,United States,Xylona Preis,0,20/01/13,CA-2011-167927,Storex Dura Pro Binders,13.365,5,Central,,29.7,Consumer,26/01/13,Standard Class,Michigan,Binders
Office Supplies,United States,Xylona Preis,0,20/01/13,CA-2011-167927,Eldon Fold 'N Roll Cart System,4.0542,1,Central,,13.98,Consumer,26/01/13,Standard Class,Michigan,Storage
Office Supplies,United States,Xylona Preis,0,20/01/13,CA-2011-167927,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,15.9792,2,Central,,66.58,Consumer,26/01/13,Standard Class,Michigan,Storage
Office Supplies,United States,Hunter Lopez,0,20/01/13,US-2011-147627,Newell 327,1.7901,3,South,,6.63,Consumer,26/01/13,Standard Class,Arkansas,Art
Office Supplies,United States,Hunter Lopez,0,20/01/13,US-2011-147627,Newell 351,6.6584,7,South,,22.96,Consumer,26/01/13,Standard Class,Arkansas,Art
Office Supplies,United States,Hunter Lopez,0,20/01/13,US-2011-147627,Staple envelope,10.9698,3,South,,23.34,Consumer,26/01/13,Standard Class,Arkansas,Envelopes
Office Supplies,United States,Muhammed MacIntyre,0.7,20/01/13,US-2011-147774,GBC DocuBind TL200 Manual Binding Machine,-51.5154,1,South,,67.194,Corporate,26/01/13,Standard Class,Tennessee,Binders
Technology,United States,Hunter Lopez,0,20/01/13,US-2011-147627,Apple iPhone 5C,181.9818,7,South,,699.93,Consumer,26/01/13,Standard Class,Arkansas,Phones
Furniture,United States,Tom Boeckenhauer,0.2,21/01/13,CA-2011-110422,Ultra Door Pull Handle,4.1028,3,South,,25.248,Consumer,23/01/13,Second Class,Florida,Furnishings
Office Supplies,United States,Speros Goranitis,0,23/01/13,CA-2011-146997,"Alliance Big Bands Rubber Bands, 12/Pack",0,3,Central,,5.94,Consumer,27/01/13,Standard Class,Indiana,Fasteners
Office Supplies,United States,Ionia McGrath,0,23/01/13,CA-2011-102645,Xerox 195,19.2384,6,West,,40.08,Consumer,28/01/13,Standard Class,Nevada,Paper
Furniture,United States,Carol Adams,0,26/01/13,CA-2011-167997,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",39.7488,2,Central,,141.96,Corporate,29/01/13,First Class,South Dakota,Bookcases
Office Supplies,United States,Carol Adams,0,26/01/13,CA-2011-167997,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,5.0196,2,Central,,10.68,Corporate,29/01/13,First Class,South Dakota,Binders
Furniture,United States,Shirley Daniels,0,26/01/13,US-2011-155502,Eldon Image Series Black Desk Accessories,4.4712,3,South,,12.42,Home Office,31/01/13,Standard Class,Virginia,Furnishings
Furniture,United States,Shirley Daniels,0,26/01/13,US-2011-155502,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",30.7818,3,South,,62.82,Home Office,31/01/13,Standard Class,Virginia,Furnishings
Office Supplies,United States,Shirley Daniels,0,26/01/13,US-2011-155502,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",9.3312,3,South,,19.44,Home Office,31/01/13,Standard Class,Virginia,Paper
Office Supplies,United States,Shirley Daniels,0,26/01/13,US-2011-155502,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",8.34,2,South,,16.68,Home Office,31/01/13,Standard Class,Virginia,Paper
Office Supplies,United States,Shirley Daniels,0,26/01/13,US-2011-155502,"SAFCO Commercial Wire Shelving, 72h",0,8,South,,489.92,Home Office,31/01/13,Standard Class,Virginia,Storage
Technology,United States,Shirley Daniels,0,26/01/13,US-2011-155502,Jabra SPEAK 410,52.6344,2,South,,187.98,Home Office,31/01/13,Standard Class,Virginia,Phones
Technology,United States,Shirley Daniels,0,26/01/13,US-2011-155502,Macally Suction Cup Mount,0,13,South,,155.35,Home Office,31/01/13,Standard Class,Virginia,Phones
Furniture,United States,Ed Jacobs,0.2,27/01/13,US-2011-117163,Balt Split Level Computer Training Table,-16.65,3,West,,333,Consumer,02/02/13,Standard Class,California,Tables
Office Supplies,United States,Ed Jacobs,0,27/01/13,US-2011-117163,Dixon Ticonderoga Core-Lock Colored Pencils,12.0252,4,West,,36.44,Consumer,02/02/13,Standard Class,California,Art
Office Supplies,United States,Ed Jacobs,0,27/01/13,US-2011-117163,Recycled Steel Personal File for Hanging File Folders,14.3075,1,West,,57.23,Consumer,02/02/13,Standard Class,California,Storage
Office Supplies,United States,Jasper Cacioppo,0.2,28/01/13,CA-2011-100328,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",1.3257,1,East,,3.928,Consumer,03/02/13,Standard Class,New York,Binders
Office Supplies,United States,Mike Vittorini,0,30/01/13,CA-2011-134103,Xerox 1972,4.752,2,Central,,10.56,Consumer,04/02/13,Standard Class,Michigan,Paper
Office Supplies,United States,Mike Vittorini,0,30/01/13,CA-2011-134103,Space Solutions HD Industrial Steel Shelving.,6.8982,2,Central,,229.94,Consumer,04/02/13,Standard Class,Michigan,Storage
Furniture,United States,Liz Carlisle,0.15,31/01/13,CA-2011-115161,"Sauder Facets Collection Library, Sky Alder Finish",3.4196,2,West,,290.666,Consumer,02/02/13,First Class,California,Bookcases
Technology,United States,Bradley Drucker,0,01/02/13,CA-2011-140795,Enermax Aurora Lite Keyboard,206.316,6,Central,,468.9,Consumer,03/02/13,First Class,Wisconsin,Accessories
Office Supplies,United States,Cynthia Delaney,0,02/02/13,CA-2011-139857,Staples,5.8045,5,West,,12.35,Home Office,06/02/13,Standard Class,California,Fasteners
Office Supplies,United States,Eric Barreto,0.7,02/02/13,CA-2011-123400,Surelock Post Binders,-12.224,2,South,,18.336,Consumer,09/02/13,Standard Class,Florida,Binders
Technology,United States,Eric Barreto,0.2,02/02/13,CA-2011-123400,AT&T 17929 Lendline Telephone,13.572,5,South,,180.96,Consumer,09/02/13,Standard Class,Florida,Phones
Office Supplies,United States,Tom Boeckenhauer,0.2,03/02/13,CA-2011-111059,Avery Durable Poly Binders,4.3134,3,West,,13.272,Consumer,06/02/13,Second Class,Washington,Binders
Office Supplies,United States,Tom Boeckenhauer,0.2,03/02/13,CA-2011-111059,Ibico Laser Imprintable Binding System Covers,27.248,2,West,,83.84,Consumer,06/02/13,Second Class,Washington,Binders
Office Supplies,United States,Mark Haberlin,0.2,04/02/13,CA-2011-104808,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",6.0368,2,West,,17.248,Corporate,08/02/13,Second Class,California,Binders
Office Supplies,United States,Deborah Brumfield,0.2,04/02/13,CA-2011-107181,GBC Recycled Grain Textured Covers,29.0136,3,West,,82.896,Home Office,08/02/13,Standard Class,California,Binders
Office Supplies,United States,Deborah Brumfield,0,04/02/13,CA-2011-107181,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",16.0928,4,West,,34.24,Home Office,08/02/13,Standard Class,California,Paper
Office Supplies,United States,Neil Ducich,0,06/02/13,CA-2011-131905,Avery 480,7.2,4,South,,15,Corporate,09/02/13,First Class,Virginia,Labels
Technology,United States,Neil Ducich,0,06/02/13,CA-2011-131905,Aastra 57i VoIP phone,42.0186,1,South,,161.61,Corporate,09/02/13,First Class,Virginia,Phones
Technology,United States,Neil Ducich,0,06/02/13,CA-2011-131905,AT&T CL82213,42.0355,5,South,,144.95,Corporate,09/02/13,First Class,Virginia,Phones
Office Supplies,United States,Delfina Latchford,0.8,06/02/13,CA-2011-108182,"Avery Flip-Chart Easel Binder, Black",-14.7708,2,Central,,8.952,Consumer,10/02/13,Second Class,Illinois,Binders
Office Supplies,United States,Chris Selesnick,0,07/02/13,US-2011-169390,Acco Perma 4000 Stacking Storage Drawers,9.744,4,East,,64.96,Corporate,10/02/13,Second Class,New York,Storage
Technology,United States,Cyma Kinney,0,07/02/13,CA-2011-107755,Maxell DVD-RAM Discs,49.6048,7,East,,115.36,Corporate,12/02/13,Standard Class,New Jersey,Accessories
Furniture,United States,Nathan Mautz,0,08/02/13,CA-2011-125759,"Master Caster Door Stop, Large Brown",5.5328,2,West,,14.56,Home Office,09/02/13,First Class,Nevada,Furnishings
Furniture,United States,Guy Armstrong,0,11/02/13,CA-2011-168368,"Global Value Mid-Back Manager's Chair, Gray",15.2225,1,Central,,60.89,Consumer,15/02/13,Second Class,Missouri,Chairs
Furniture,United States,Guy Armstrong,0,11/02/13,CA-2011-168368,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",53.2704,3,Central,,332.94,Consumer,15/02/13,Second Class,Missouri,Furnishings
Furniture,United States,Natalie Fritzler,0,11/02/13,CA-2011-127614,Hon 2111 Invitation Series Corner Table,75.3732,6,South,,1256.22,Consumer,15/02/13,Standard Class,Virginia,Tables
Office Supplies,United States,Guy Armstrong,0,11/02/13,CA-2011-168368,VariCap6 Expandable Binder,24.393,3,Central,,51.9,Consumer,15/02/13,Second Class,Missouri,Binders
Office Supplies,United States,Guy Armstrong,0,11/02/13,CA-2011-168368,Wilson Jones Turn Tabs Binder Tool for Ring Binders,4.4344,2,Central,,9.64,Consumer,15/02/13,Second Class,Missouri,Binders
Office Supplies,United States,Guy Armstrong,0,11/02/13,CA-2011-168368,Avery 483,6.8724,3,Central,,14.94,Consumer,15/02/13,Second Class,Missouri,Labels
Office Supplies,United States,Guy Armstrong,0,11/02/13,CA-2011-168368,Fellowes Neat Ideas Storage Cubes,2.5984,2,Central,,64.96,Consumer,15/02/13,Second Class,Missouri,Storage
Office Supplies,United States,Natalie Fritzler,0,11/02/13,CA-2011-127614,Wilson Jones Leather-Like Binders with DublLock Round Rings,8.2062,2,South,,17.46,Consumer,15/02/13,Standard Class,Virginia,Binders
Technology,United States,Natalie Fritzler,0,11/02/13,CA-2011-127614,Enermax Aurora Lite Keyboard,103.158,3,South,,234.45,Consumer,15/02/13,Standard Class,Virginia,Accessories
Furniture,United States,Sanjit Chand,0.2,12/02/13,US-2011-110674,"Global Geo Office Task Chair, Gray",-24.294,2,West,,129.568,Consumer,18/02/13,Standard Class,California,Chairs
Office Supplies,United States,Marina Lichtenstein,0,14/02/13,CA-2011-121762,Belkin 8 Outlet Surge Protector,22.9488,2,West,,81.96,Corporate,18/02/13,Standard Class,Washington,Appliances
Office Supplies,United States,Marina Lichtenstein,0,14/02/13,CA-2011-121762,Compact Automatic Electric Letter Opener,4.7724,2,West,,238.62,Corporate,18/02/13,Standard Class,Washington,Supplies
Technology,United States,Marina Lichtenstein,0,14/02/13,CA-2011-121762,Logitech G600 MMO Gaming Mouse,86.3892,3,West,,239.97,Corporate,18/02/13,Standard Class,Washington,Accessories
Office Supplies,United States,Shui Tom,0.2,14/02/13,CA-2011-107706,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",6.066,3,Central,,16.176,Consumer,19/02/13,Second Class,Texas,Paper
Office Supplies,United States,Barry Französisch,0.2,15/02/13,CA-2011-165568,Pressboard Data Binders by Wilson Jones,7.209,5,West,,21.36,Corporate,19/02/13,Standard Class,Washington,Binders
Office Supplies,United States,Michael Nguyen,0.8,16/02/13,CA-2011-122567,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",-13.93,2,Central,,7.96,Consumer,21/02/13,Standard Class,Texas,Appliances
Office Supplies,United States,Michael Nguyen,0.8,16/02/13,CA-2011-122567,Wilson Jones Easy Flow II Sheet Lifters,-1.728,3,Central,,1.08,Consumer,21/02/13,Standard Class,Texas,Binders
Office Supplies,United States,Delfina Latchford,0.2,17/02/13,CA-2011-154165,Staples in misc. colors,8.8088,14,Central,,54.208,Consumer,24/02/13,Standard Class,Illinois,Art
Furniture,United States,Troy Blackwell,0.6,18/02/13,US-2011-165589,"DAX Copper Panel Document Frame, 5 x 7 Size",-11.322,5,Central,,25.16,Consumer,18/02/13,Same Day,Texas,Furnishings
Office Supplies,United States,Aaron Bergman,0.2,18/02/13,CA-2011-152905,Akro Stacking Bins,-2.5248,2,Central,,12.624,Consumer,24/02/13,Standard Class,Texas,Storage
Office Supplies,United States,Steven Roelle,0,20/02/13,CA-2011-164903,Xerox 204,6.2208,2,West,,12.96,Home Office,24/02/13,Standard Class,California,Paper
Furniture,United States,Linda Cazamias,0,20/02/13,CA-2011-109491,"Master Caster Door Stop, Brown",6.9088,4,Central,,20.32,Corporate,26/02/13,Standard Class,Indiana,Furnishings
Technology,United States,Linda Cazamias,0,20/02/13,CA-2011-109491,Enermax Briskie RF Wireless Keyboard and Mouse Combo,22.4316,3,Central,,62.31,Corporate,26/02/13,Standard Class,Indiana,Accessories
Office Supplies,United States,Tamara Manning,0.8,21/02/13,CA-2011-165540,GBC Standard Plastic Binding Systems Combs,-13.7175,5,Central,,8.85,Consumer,25/02/13,Standard Class,Illinois,Binders
Office Supplies,United States,Sue Ann Reed,0,22/02/13,CA-2011-133354,Xerox 220,9.3312,3,West,,19.44,Consumer,24/02/13,First Class,California,Paper
Office Supplies,United States,Michael Grace,0.8,23/02/13,CA-2011-103744,GBC Plastic Binding Combs,-6.8634,3,Central,Yes,4.428,Home Office,27/02/13,Standard Class,Texas,Binders
Office Supplies,United States,Michael Grace,0.2,23/02/13,CA-2011-103744,Staple-on labels,2.3409,3,Central,Yes,6.936,Home Office,27/02/13,Standard Class,Texas,Labels
Office Supplies,United States,Jennifer Halladay,0.2,24/02/13,US-2011-137680,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",11.1024,4,West,,32.896,Consumer,02/03/13,Standard Class,Oregon,Paper
Office Supplies,United States,Jennifer Halladay,0.2,24/02/13,US-2011-137680,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",7.6869,3,West,,22.776,Consumer,02/03/13,Standard Class,Oregon,Paper
Office Supplies,United States,Joy Smith,0.2,27/02/13,CA-2011-156545,Zebra Zazzle Fluorescent Highlighters,3.4048,4,East,,19.456,Consumer,03/03/13,First Class,Ohio,Art
Furniture,United States,Shahid Collister,0.3,01/03/13,CA-2011-131009,Harbour Creations Steel Folding Chair,0,6,Central,,362.25,Consumer,05/03/13,Standard Class,Texas,Chairs
Furniture,United States,Shahid Collister,0.6,01/03/13,CA-2011-131009,DAX Black Cherry Wood-Tone Poster Frame,-34.9536,6,Central,,63.552,Consumer,05/03/13,Standard Class,Texas,Furnishings
Furniture,United States,Vicky Freymann,0.3,01/03/13,CA-2011-113880,Novimex Swivel Fabric Task Chair,-172.1172,6,Central,,634.116,Home Office,05/03/13,Standard Class,Illinois,Chairs
Office Supplies,United States,Shahid Collister,0.2,01/03/13,CA-2011-131009,Plymouth Boxed Rubber Bands by Plymouth,-3.5325,5,Central,,18.84,Consumer,05/03/13,Standard Class,Texas,Fasteners
Office Supplies,United States,Shahid Collister,0.2,01/03/13,CA-2011-131009,Fellowes Bankers Box Recycled Super Stor/Drawer,-22.6716,3,Central,,129.552,Consumer,05/03/13,Standard Class,Texas,Storage
Office Supplies,United States,Vicky Freymann,0.2,01/03/13,CA-2011-113880,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",5.6784,3,Central,,17.472,Home Office,05/03/13,Standard Class,Illinois,Paper
Technology,United States,Hallie Redmond,0,01/03/13,US-2011-143707,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,1.6038,3,East,,5.94,Home Office,05/03/13,Standard Class,New York,Phones
Furniture,United States,Dave Brooks,0.2,01/03/13,CA-2011-104269,Global Deluxe High-Back Manager's Chair,51.4764,2,West,,457.568,Consumer,06/03/13,Second Class,Washington,Chairs
Furniture,United States,Giulietta Weimer,0.3,01/03/13,CA-2011-168312,Bevis Round Conference Room Tables and Bases,-43.0296,3,Central,,376.509,Consumer,07/03/13,Standard Class,Texas,Tables
Office Supplies,United States,Giulietta Weimer,0.2,01/03/13,CA-2011-168312,Recycled Steel Personal File for Hanging File Folders,8.5845,3,Central,,137.352,Consumer,07/03/13,Standard Class,Texas,Storage
Office Supplies,United States,Nicole Hansen,0.2,02/03/13,CA-2011-111157,Xerox 1971,1.07,1,East,,3.424,Corporate,06/03/13,Standard Class,Pennsylvania,Paper
Technology,United States,Nicole Hansen,0.2,02/03/13,CA-2011-111157,Hypercom P1300 Pinpad,32.13,3,East,,151.2,Corporate,06/03/13,Standard Class,Pennsylvania,Accessories
Office Supplies,United States,Kristina Nunn,0,02/03/13,CA-2011-107524,Staple envelope,5.3392,2,East,,11.36,Home Office,08/03/13,Standard Class,New York,Envelopes
Office Supplies,United States,Kristina Nunn,0,02/03/13,CA-2011-107524,"Array Parchment Paper, Assorted Colors",17.472,5,East,,36.4,Home Office,08/03/13,Standard Class,New York,Paper
Furniture,United States,Eva Jacobs,0.2,03/03/13,CA-2011-105648,"Bevis Oval Conference Table, Walnut",-23.4882,3,West,,626.352,Consumer,07/03/13,Standard Class,California,Tables
Office Supplies,United States,Sam Craven,0.8,03/03/13,CA-2011-130421,3.6 Cubic Foot Counter Height Office Refrigerator,-459.6072,3,Central,,176.772,Consumer,07/03/13,Standard Class,Texas,Appliances
Office Supplies,United States,Ashley Jarboe,0.2,03/03/13,CA-2011-155852,Zebra Zazzle Fluorescent Highlighters,3.4048,4,South,,19.456,Consumer,07/03/13,Second Class,North Carolina,Art
